product_name,price,rating,seller_count,category
LED Desk Lamp,29.99,4.4,100,Home & Kitchen
Wireless Charger Pad,24.99,4.3,85,Electronics
Bluetooth Headphones,44.99,4.5,150,Electronics
Kitchen Storage Container,17.99,4.6,60,Home & Kitchen
Exercise Mat Yoga,21.99,4.4,90,Sports & Outdoors
Phone Case Protective,13.99,4.2,110,Electronics
Lip Gloss Set,19.99,4.7,75,Beauty
Car Air Freshener,9.99,4.1,50,Automotive
Bedside Lamp Touch,32.99,4.5,70,Home & Kitchen
Sports Water Bottle,18.99,4.6,95,Sports & Outdoors
Monitor Stand Riser,38.99,4.3,55,Electronics
Portable Speaker Bluetooth,31.99,4.4,120,Electronics
Hair Straightener Brush,36.99,4.5,65,Beauty
Step Counter Pedometer,22.99,4.2,80,Sports & Outdoors
Electric Kettle Glass,29.99,4.4,50,Home & Kitchen
Mechanical Keyboard RGB,54.99,4.6,90,Electronics
Floating Wall Shelves,23.99,4.3,45,Home & Kitchen
Face Mask Sheet Pack,14.99,4.5,100,Beauty
Ankle Weights Set,16.99,4.2,40,Sports & Outdoors
Webcam HD 1080p,42.99,4.4,75,Electronics
